Room;Adjacent rooms (wijzerzin, begin van links)
1;ii,2
2;1,5,4,3
3;2,4
4;5,7,8
5;ii,4,2,7
6;ii,9,7
7;6,9,8,4,5
8;13,4,7
9;10,7,6
10;11,9
11;10,12
12;iv,11,iii,19,S,L
13;17,16,14,8
14;13,16,15
15;14,16
16;17,19,18,15,14
17;19,18,16,13
18;19,16,17
19;12,V,18,16,17,L
A;B,ii
B;C,D,E,A
C;D,B
D;H,G,E,B,C
E;D,G,ii,B
F;G,i,ii,
G;H,I,F,E,D
H;M,G,D
I;J,F,G
J;K,I
K;L,J
L;iv,S,19,12,iii,K
M;N,P,Q,H
N;O,P,M
O;P,N
P;O,R,S,Q,M,N
Q;P,R,S,M
R;S,Q,P
S;12,V,L,R,iv,Q,P
i;ii
ii;E,F,iii,6,5,1,i,A
iii;L,iv,12,ii
V;S,19,iv